Company Name,Founded,Industry,Job Description,Job Title,Location,Rating,Revenue,Salary Estimate,Sector,Size,Type of ownership,hourly,employer_provided,min_salary,max_salary,avg_salary,company_text,job_state,age,python_yn,R_yn,spark,aws,excel,job_simp,seniority,desc_len
"Boys Town National Research Hospital
2.9",1977,Health Care Services & Hospitals,"Business: Boys Town National Research Hospital

Boys Town National Research Hospital (BTNRH) is seeking Junior, Mid, or Senior career level Research Scientists in the Center for Childhood Deafness, Language & Learning (CCDLL). The Center for Childhood Deafness, Language, and Learning is directed by Karla McGregor, Ph.D.

Scientists at Boys Town National Research Hospital are full-time researchers with no teaching or administrative responsibilities and reasonable service commitments.

Our vision is to grow the CCDLL into a program with tightly integrated research and clinical arms that work synergistically on issues of language learning and development. Work that fits this focus could involve examination of differences between learners with varying diagnoses; determination of the influences of intervention as well as family, academic, and social environments on language outcomes; identification of developmental processes that support language learning during infancy, childhood, adolescence, and young adulthood; and investigation of brain plasticity and neurologic pathways that support language learning and development. We are assembling a faculty that can offer a unique perspective on such issues, one that is informed by a commitment to understanding and ameliorating the effects of childhood disabilities on language learning and development.
All scientists will have access to new, state-of-the art laboratory facilities, generous start-up funds, and extensive supports for grant management, IT, participant recruitment, and clinical measurement.
Senior scientists aim for 50% salary support on external grants. Via participation in the Center for Perception and Communication in Children (CPCC) funded by a Centers of Biomedical Research Excellence (COBRE) grant, junior scientists are provided with extensive mentoring and three years of full support to enable them to reach this goal.
Via participation in the Center for Perception and Communication in Children (CPCC) funded by a Centers of Biomedical Research Excellence (COBRE) grant, junior scientists are provided with extensive mentoring and three years of full support to enable them to reach this goal.

Scientists at Boys Town National Research Hospital have the advantage of working alongside an outstanding, internationally recognized group of colleagues. In addition to clinicians and scientists in the CCDLL, collaborations are possible with faculty in the Centers for Human Neurosciences, Neurobehavioral Research, Sensory Neuroscience Research, Audiological and Vestibular Services, and Hearing Research. Our intellectual community also includes colleagues at the University of Nebraska-Omaha, the University of Nebraska-Lincoln, the University of Nebraska Medical Center, Creighton University and the Creighton University School of Medicine. Our participation in the Great Plains IDeA-Clinical & Translational Research Center provides training opportunities, partnerships, and resources for scientists who wish to translate science into better health outcomes.

Required Qualifications : A successful candidate will have a Ph.D. as well as post-doctoral studies or faculty-level experience in Speech-Language Pathology, Cognitive Science, Developmental or Experimental Psychology or a related field, and a record that demonstrates a highly productive and excellent research program. Expertise in phonological development or disorders, neurodevelopmental disorders, or the interface between language development and emotional/behavioral health is of particular interest, but not required.

About Boys Town : Boys Town has been changing the way America cares for children and families since 1917. Our employees have helped us grow from a small boardinghouse in downtown Omaha, Nebraska into one of the largest national child and family care organizations in the country. With the addition of Boys Town National Research Hospital in 1977, our services branched out into the health care and research fields, offering even more career opportunities to those looking to make a real difference.

Our employees are our #1 supporters when it comes to achieving Boys Town's mission, which is why we are proud of their commitment to making the world a better place for children, families, patients, and communities. Unique perks to Boys Town employees and their families include free visits to Boys Town physicians and free prescriptions under the Boys Town Medical Plan, tuition assistance, parenting resources from our experts and professional development opportunities within the organization, just to name a few. Working at Boys Town is more than just a job, it is a way of life.

Date Posted : September 23, 2020

Boys Town National Research Hospital is a tobacco free campus. This advertisement describes the general nature of work to be performed and does not include an exhaustive list of all duties, skills, or abilities required. Boys Town is an equal employment opportunity employer and participates in the E-Verify program. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or veteran status. To request a disability-related accommodation in the application process, contact us at 1-877-639-6003.",Research Scientist,"Omaha, NE",2.9,Unknown / Non-Applicable,$38K-$85K (Glassdoor est.),Health Care,1001 to 5000 Employees,Hospital,0,0,38,85,61.5,"Boys Town National Research Hospital", NE,43,0,0,0,0,1,na,na,5336
"LSQ
4.5",1996,Investment Banking & Asset Management,"Job Title: Data Scientist (Risk)

Location: Orlando, Florida

Manager: Head of Data Science

About LSQ

LSQ is a technology-driven provider of accounts receivable financing to companies who need working capital but may not be able to obtain sufficient financing from their bank. Our focus is to help businesses release the liquidity tied up in their accounts receivable. With financing from LSQ, a business can purchase more inventory, fill more orders, and take advantage of new growth opportunities. Our technology and data driven approach to providing working capital, along with our accounts receivable management services, allows our clients to driving business success.

Job Overview

LSQ is searching for a Data Scientist (Risk) to join our growing team of analytics experts. The hire will be responsible for building data driven tools to automate and scale risk decisions decision points include, fraud detection, commercial credit analysis, and invoice payment behavior. The ideal candidate is an experienced researcher and data wrangler who enjoys applying complex theories to solve real world business problems. The Data Scientist will need to collaborate effectively with both technical (engineers, data experts) and non-technical (business users) colleagues to bring the data to life.

Responsibilities of Data Scientist (Risk)
We have 20+ years of real-world commercial data weve observed businesses and their interactions with other businesses across market cycles, industries, and catastrophic events. Build risk tools that optimize for velocity and scale.
Build risk tools that optimize science & art you will work with risk experts who have been in the trenches (and learned from losses). Augment human decisions with machine.
Lay the foundation for scale. A data science framework for optimal data acquisition, model training and deployment. Dont take short-cuts. Bring quantitative and statistical rigor to your body of work.
Lead by example. You are joining a data team at ground-level. Building and inserting a data team, into a 20+ year old company (organism) will be hard, but rewarding.
Qualifications for Risk Data Scientist
Curiosity, Grit, and Humility
5+ years of experience of hands-on data science role
Previous experience of building commercial finance risk tools should be beneficial, but not required
Bachelor or Masters degree in Data Science, Operations Research, Computer Science, Industrial Engineering, Statistics, or another quantitative field
A toolkit of modern data science techniques
Experience with any data science tools/packages: Python, R, SAS, XGBoost, TensorFlow, NLTK
Experience with any big data tools: Hadoop, Spark, Kafka, Data Bricks
Experience with any reporting tools: Tableau Server, Power BI, SSRS, Excel
Experience with any AWS cloud services: EC2, EMR, RDS, Redshift, Aurora, S3
Experience with any Stream-processing systems: Storm, Spark-Streaming
Position Type and Expected Hours of Work:

This is a full-time position. Days and hours of work are Monday through Friday, 8:00 a.m. to 5 p.m. Occasional evening and weekend work may be required as job duties demand.

Physical Demands:

While performing the duties of this job, the employee is regularly required to sit and use hands to finger, handle, or feel. The employee is frequently required to reach with hands and arms and talk or hear. The employee is occasionally required to stand; walk and stoop, kneel, crouch.

Travel:

There will be minimal travel required for this position.

LSQ is an Equal Opportunity Employer that does not discriminate on the basis of actual or perceived, race, religion, color, sex (including pregnancy and gender identity), sexual orientation, parental status, national origin, age, disability, family medical history or genetic information, political affiliation, military service, any other non-merit based factor or any other characteristic protected by applicable federal, state or local laws. Our leadership team is dedicated to this policy with respect to recruitment, hiring, placement, promotion, transfer, training, compensation, benefits, employee activities and general treatment during employment. If youd like more information about your EEO rights as an applicant under the law, please click here http://www1.eeoc.gov/employers/poster.cfm",Data Scientist - Risk,"Orlando, FL",4.5,$100 to $500 million (USD),$77K-$109K (Glassdoor est.),Finance,51 to 200 Employees,Company - Private,0,0,77,109,93.0,"LSQ", FL,24,1,0,1,1,1,data scientist,na,4343
"Constellation (MN)
4.5",2012,Insurance Carriers,"Analytical. Data Driven. Excellent Communicator. Strong Business Partner.

Does this sound like you? If so– look no further! Our Analytics team is looking to expand and complement their team with a new Data Science Manager.

As ourData Science Manager, you are responsible for developing predictive models to assist our Underwriting and Claims teams. You will collaborate closely with internal and external peers, pro-actively collect and address feedback from business units, and create actionable models which enable better business decisions.

At Constellation, we’re doing things differently. Our organization empowers you and believes that together, we can make a difference.

So, join us! We invite you to join a company where you can stretch your abilities and rocket your career to the stars!

You will be responsible for:
Participating in the design and delivery of accurate and robust predictive models
Collaborating with Subject Matter Experts to and design analytic solutions which enable better decision making
Clearly communicating findings, collecting feedback, addressing questions and concerns, with the ability to clearly translate technical concepts to non-technical audience
Managing large, long term project timelines with cross functional dependencies and transparently communicating progress on these timelines, obstacles, and solutions to any gaps
Working with a team of data scientists to build out actionable statistical models (GLMs / ML / AI) within R / Python
Mentoring other data scientists on model development, best practices, technical coding, Analytics Environment
Assisting in expansion and development of analytics department, finding internal and external vendor partners to support long-term business objectives
Determining requirements for Analytics platform. Collaborating with IT to deliver and maintain environment
You will have:
3+ years working with R or Python
3+ years leading analytics projects
Demonstrated strong verbal and written communication skills
Bachelor’s Degree with 7 years’ experience or Masters / PhD with 5 years’ experience",Data Science Manager,"Minneapolis, MN",4.5,Unknown / Non-Applicable,$96K-$156K (Glassdoor est.),Insurance,51 to 200 Employees,Company - Private,0,0,96,156,126.0,"Constellation (MN)", MN,8,1,0,0,0,1,na,na,2109
"Buckman
3.6",1945,Chemical Manufacturing,"Data Scientist

Language: English

Location: Memphis, TN

Travel: <10>

Buckman is a privately held, global specialty chemical company with headquarters in Memphis, TN, USA, committed to safeguarding the environment, maintaining safety in the workplace, and promoting sustainable development. Buckman delivers exceptional service and innovative solutions to our customers globally in the pulp and paper, leather, and water treatment sectors to help boost productivity, reduce risk, improve product quality, and provide a measurable return on investment. Buckman is in the middle of a digital transformation of its businesses and focused on building the capabilities and tools in support of this.

Position Summary
Buckman is seeking an experienced Data Scientist to lead the development of a Data Science program at our Memphis facility. You will work closely with Buckman stakeholders to derive deep industry knowledge across paper, water, leather, and performance chemical industries. You will help develop a data strategy for the company including collection of the right data, creation of the data science project portfolio, partnering with external providers, and augmenting capabilities with additional internal hires. A large part of the job is communicating and developing relationship with key stakeholders and subject matter experts to tee up proofs of concept projects to demonstrate how data science can be used to solve old problems in unique and novel ways. You will not have a large internal team to rely on, at least initially, so individual expertise, breadth of data science knowledge, and ability to partner with external companies will be essential for success. In addition to the pure data science problems, you will be working closely with a multi-disciplinary team consisting of sensor scientists, software engineers, network engineers, mechanical/electrical engineers, and chemical engineers in the development, and deployment of IoT solutions. If you like working for an entrepreneurial company with a Sustainability mission and digital ambitions at the core of its strategy, Buckman is the place for you.

Competencies Needed for Success
Bachelor’s degree in a quantitative field such as Data Science, Statistics, Applied Mathematics, Physics, Engineering, or Computer Science
5+ years of relevant working experience in an analytical role involving data extraction, analysis, and visualization
Expertise in one or more programming languages R, Python, MATLAB, JMP, Minitab, Java, C++, Scala
Key libraries such as Sklearn, XgBoost, GLMNet, Dplyr, ggplot, Rshiny
Experience and knowledge of data mining algorithms including supervised and unsupervised machine learning techniques areas such as Gradient Boosting, Decision Trees, Multivariate Regressions, Logistic regressions, Neural Network, Random Forest, Support Vector Machine, Naive Bayes, Time Series, Optimization
Microsoft IoT/data science toolkit: Azure Machine Learning, Datalake, Datalake analytics, Workbench, IoT Hub, Stream Analytics, CosmosDB, Time Series Insights, PowerBI
Data querying languages (e.g. SQL, Hadoop/Hive) and Preferred Qualifications
A demonstrated record of success with a verifiable portfolio of problems tackled
Preferred Qualifications
Master’s or PhD degree in a quantitative field such as Data Science, Statistics, Applied Mathematics, Physics, Engineering, or Computer Science
Experience in the specialty chemicals sector or similar industry
Background in engineering, especially Chemical Engineering
Experience starting up a data science program
Experience working with global stakeholders
Experience working in a start-up environment, preferably in an IoT company
Knowledge in quantitative modeling tools and statistical analysis",Data Scientist,"Memphis, TN",3.6,$500 million to $1 billion (USD),$83K-$135K (Glassdoor est.),Manufacturing,1001 to 5000 Employees,Company - Private,0,0,83,135,109.0,"Buckman", TN,75,1,0,0,0,0,data scientist,na,3773
"KISS products, Inc.
2.5",1989,Consumer Products Manufacturing,"KISS Products Virtual Hiring Event!

Event Details
Date: Friday, October 23, 2020

What We're Hiring For

Supply Chain Data Analyst

Intake Details:

Requirements

Proficient in MS Office, MS Excel. Experience in SAP is preferred.

Up to 8 years of relevant work experience preferred.

Bachelor’s Degree in Mathematics, Statistics, and/or Business-related

Technical requirements

We prefer you to use a device with a camera and a stable internet connection. If you are using an Apple device, we recommend using the Safari browser. For all other devices, Google Chrome is recommended.

The interview will take place on Indeed's virtual interviewing platform. After RSVP, you will find a link in your email that will lead you directly to the video interview lobby during the event. Try to find a quiet place with good lighting and a stable internet connection

What to bring to this event

Resume

Completing our online application prior to the event is strongly encouraged and will speed up the process.

What to wear

Dress code is Business casual (dress pants/skirt, button down/blouse, optional tie).

About KISS products, Inc.

A Korean-American company headquartered in New York, KISS takes great pride in being a global leader in professional quality beauty products and treatments, with brands available in over 100 countries worldwide. Inspired by the power and excitement of life-changing beauty breakthroughs such as the handheld blow-dryer, which allowed women to break ties with the beauty parlor, Mr. John Chang–who started KISS as a tiny beauty supply business–has made it his mission to find ways to make life simpler & easier for all. With his world-renowned team of scientists & product developers, the KISS founder’s passion is to invent DIY beauty products that save women a tremendous amount of time, effort and money.

What is a Virtual Hiring Event?
Virtual hiring events are a great way for employers and jobseekers to connect, even if they aren't in the same physical location. Hiring is a human process, and they would like to talk with you online (either through chat, on the phone, or video) to see if you’re a fit!

This position is responsible for managing inventory levels, studying supply chain and system management.

Job Description:

Proactively monitor inventory with shelf-life constraints and drive consumption in order to minimize potential liability
Must be able to develop relevant performance metrics and prepare detailed reports for management
Develop reporting systems, dashboards and performance metrics that support business decisions
Identify business and technical problems and create innovative solutions.
Oversee inventory procedures
Develop and monitor KPIs and report on supply chain’s performance",Supply Chain Data Analyst Virtual Hiring Event,"Piscataway, NJ",2.5,$100 to $500 million (USD),$37K-$72K (Glassdoor est.),Manufacturing,501 to 1000 Employees,Company - Private,0,0,37,72,54.5,"KISS products, Inc.", NJ,31,0,0,0,0,1,analyst,na,2799
"Integral Ad Science
3.5",2009,Internet,"Integral Ad Science (IAS) is a global technology and data company that builds verification, optimization, and analytics solutions for the advertising industry and we're looking for a Staff Data Scientist to join our Data Science team. If you are excited by technology that has the power to handle hundreds of thousands of transactions per second; collect tens of billions of events each day; and evaluate thousands of data-points in real-time all while responding in just a few milliseconds, then IAS is the place for you!

As a Data Scientist at IAS, you will be part of a team that is a center of innovation for the company and a major contributor to the company's core products. The Staff Data Scientist will work on challenging technical problems in brand safety, developing and pushing out ML/DL models at scale that classify brand unsafe material across the web.The types of challenges we solve have attracted people from industry and academia with diverse backgrounds, including machine learning, physics, biology, neuroscience, computer science, finance, and economics. We're passionate about maintaining an open and collaborative environment, where team members bring their own unique style of thinking and tools to the table.

What you'll get to do:
Scope work and projects in the realm of machine learning, focusing on deep learning applications in image/video classification.
Work with a variety of data sources to build production-ready ML models
Apply machine learning to novel problems in online advertising.
Collaborate with engineers to integrate solutions within larger engineering workflows
Effectively communicate results from ML/DL models and statistical learnings to a variety of stakeholders within R&D and product organizations
What you'll need:
Advanced degree (MSc, PhD preferred) in a relevant technical field (machine learning, computer science, computer vision, etc)
Solid research background and experience in computer vision, machine learning, and image/video analysis algorithms.
2-5 years industry experience, with technical leadership, and experience guiding ML projects from start to finish
Experience with at least one scripting language such as Python and with deep learning frameworks (tensorflow, keras, caffe, etc)
Familiarity with relational databases and SQL
Experience with source control workflows and deploying ML models in production
Comfort manipulating and analyzing complex, high-volume, high-dimensionality data from varying sources
Experience distilling product requirements into problem definitions, dealing with ambiguity and competing objectives
Ability to communicate complex quantitative analysis in a clear, precise, and actionable manner
What puts you over the top:
Practical experience with image/video classification, object detection, speech recognition, machine translation, and similar problems.
Publication record in deep learning / neural networks or adjacent fields
Experience working with distributed computing tools (Hadoop, Spark, Hive, etc.) and cloud platforms (AWS, GCP)
About Integral Ad Science

Integral Ad Science (IAS) is the global market leader in digital ad verification, offering technologies that drive high-quality advertising media. IAS equips advertisers and publishers with both the insight and technology to protect their advertising investments from fraud and unsafe environments as well as to capture consumer attention, and drive business outcomes. Founded in 2009, IAS is headquartered in New York with global operations in 18 offices across 13 countries. IAS is part of the Vista Equity Partners portfolio of software companies. For more on how IAS is powering great impressions for top publishers and advertisers around the world, visit integralads.com.

Equal Opportunity Employer:

IAS is an equal opportunity employer, committed to our diversity and inclusiveness. We will consider all qualified applicants without regard to race, color, nationality, gender, gender identity or expression, sexual orientation, religion, disability or age. We strongly encourage women, people of color, members of the LGBTQIA community, people with disabilities and veterans to apply.

California Applicant Pre-Collection Notice:

We collect personal information (PI) from you in connection with your application for employment or engagement with IAS, including the following categories of PI: identifiers, personal records, commercial information, professional or employment or engagement information, non-public education records, and inferences drawn from your PI. We collect your PI for our purposes, including performing services and operations related to your potential employment or engagement. For additional details or if you have questions, contact us at compliance@integralads.com.

To learn more about us, please visit http://integralads.com/ and https://muse.cm/2t8eGlN

Attention agency/3rd party recruiters: IAS does not accept any unsolicited resumes or candidate profiles. If you are interested in becoming an IAS recruiting partner, please send an email introducing your company to recruitingagencies@integralads.com. We will get back to you if there's interest in a partnership.",Staff Data Scientist,"New York, NY",3.5,$100 to $500 million (USD),$134K-$219K (Glassdoor est.),Information Technology,501 to 1000 Employees,Company - Private,0,0,134,219,176.5,"Integral Ad Science", NY,11,1,0,1,1,0,data scientist,na,5213
"Summa Health System
3.7",1926,Health Care Services & Hospitals,"Analytics Engineer-Clinical Services
Summa Health System
Full-time, w/benefits

Summa Health System is recognized as one of the region’s top employers by a number of third party organizations, including NorthCoast 99. Exceptional candidates gravitate to Summa because of its culture, passion for delivering excellent service to our patients and families commitment to our philosophy of servant leadership, collegial working relationships at every level of the organization and competitive pay and benefits.
Summary:
Works with a team of technologists (Data Engineers and Visualization Engineers) to deliver insights across various aspects of Summa Health’s operational, financial, and clinical activities with the goal of leveraging data to drive and realize the full potential of the organization’s programs.

Minimum Qualifications:
Formal Education Required:
-Bachelor’s degree in computer science, applied mathematics, statistics, or related discipline
Experience & Training Required:
-Five (5) years of experience in a previous analytics role in healthcare domain involving healthcare data analysis to optimize business operations
-Knowledgeable about the workings of integrated healthcare systems, health plan, research, and community programs
-Experience in analyzing healthcare data using statistical methods to optimize business operations and communicating their findings using data visualization and detailed reports

Other Skills, Competencies and Qualifications:
-Analytical mindset with good problem-solving skills
-Excellent written and verbal communication skills
-Acumen for analytics needs of an integrated health system how to use data to achieve those needs.
-Ability to effectively interact with populations of patients/customers with an understanding of their needs for self-respect and dignity
-Ability to summarize results and develop effective business presentations.
-Ability to interact with populations both technical and non-technical, with an understanding of their needs for self-respect and dignity
-Strong, critical thinker with ability to extend knowledge of information systems and applications to business processes and to cross team collaboration. Ability to explain complex, technical concepts to lay audiences and non-IT staff.
-Basic knowledge of data warehousing, data marts
-Experience with one or more Summa application platforms is desirable including Soarian Financials, DSS, HQ/HI, Epic/CarePATH and tools (RWB, Clarity, Caboodle, Radar, SlicerDicer, Registries), CostFlex, e-ClinicalWorks, GE Centricity, Lawson, Pentaho, SAS, Tableau.

1. Work with senior leaders within a line of business and across the enterprise to establish a measurement plan focused on outcomes
2. Work as a data strategist to identify and integrate datasets, data components, and attributes from various information systems to leverage information for business programs and objectives
3. Communicate, advise senior leaders about utilizing all relevant data, including clinical, operational, exposome, social determinate, economic and financial, to drive programmatic growth and achieve strategic outcomes
4. Gather baseline data information to understand current state and improvement opportunity
5. Identify data requirements based on analytical processes to measure the outcomes
6. Conduct descriptive/statistical analysis of the data set to validate hypothesis
7. Define the business requirements / specifications and user interface (Wireframes and Mockups)
8. Work with other members of CoE to develop mission control dashboards that measures the timely performance to outcome
9. Validate, deploy mission control dashboards
10. Educate Mission end users and advocate adoption of analytical tools
11. Support rolling out new insights, which are a result of discovery and exploratory exercises conducted, by citizen data analysts / scientists.
12. Ensuring that mission control insights remain relevant to achieving the desired outcome
13. Confirming that stakeholders are utilizing mission control in pursuit of that outcome
14. Surfacing new insights to drive continuous improvement
15. Communicate findings to stakeholders; implement improvement efforts as needed.

Level of Physical Demands:
Light: Exerts up to 20 pounds of force occasionally and/or up to ten pounds of force frequently, and/or a negligible amount of force continuously.
#LI-AV1",Data Analytics Engineer-Business Intelligence Analyst,"Akron, OH",3.7,$100 to $500 million (USD),$43K-$84K (Glassdoor est.),Health Care,5001 to 10000 Employees,Nonprofit Organization,0,0,43,84,63.5,"Summa Health System", OH,94,0,0,0,1,1,analyst,na,4419
"realtor.com
2.9",1993,Computer Hardware & Software,"At realtor.com, we process terabytes of data everyday and transform that data into information that powers decisions for millions of home buyers, renters, dreamers, and real estate professionals. We aim to radically simplify home buying/selling and help more people achieve the American dream on our realtor.com website and mobile apps.

What will you do?

We seek a highly seasoned Staff Data Scientist to join our experienced data science team and help take it to the next level. As a key member of the team, you will be responsible for the development of innovative concepts, research, predictive modeling, and machine learning algorithms. You will serve as a mentor for the junior data scientists on the team and provide guidance on their individual projects.

Responsibilities:
Develop predictive, explanatory models and machine learning algorithms.
Create automated learning systems that gracefully scale to increasing complexity and expectation.
Perform exploratory analysis on realtor.com's wealth of data including consumer web and mobile behavior and North America's most comprehensive and up-to-date listings and properties data set.
Effectively partner with product and engineering teams to build new data driven and machine learning based features for enriching the consumer experience of home shoppers, renters and sellers.
Design and build data science solutions to drive revenue growth, customer retention and support strategic decision making.
Generate descriptive visualizations and presentations to communicate insights.
Drive A/B & multivariate tests and design of experiments to facilitate testing of new product and design features, with focus on improving engagement, retention, and conversion.
Help improve the scope of our data sets by identifying new data collection and procurement opportunities on an ongoing basis.
Mentor a team of data scientists on data exploration, machine learning and developing data-oriented products.
Work with a sense of ownership and urgency, advocate for experimentation based, agile culture.
What will you bring?
Requirements:
PhD/MS in computer science, statistics, mathematics, operations research or related fields.
4+ years of relevant experience in data science, machine learning or applied statistics.
Experience with Machine Learning, NLP or Computer Vision and data mining tools and underlying algorithms.
Experienced in Python, R, Spark or other languages and frameworks appropriate for large scale analysis of structured and unstructured data.
Working experience with relational databases (SQL) and large scale distributed systems.
Experience with experiment design and A/B and multivariate tests.
Proven track record of developing online data products.
Strong creative thinking and problem solving skills.
Excellent oral and written communication and presentation skills.
About realtor.com

At realtor.com®, we believe that everyone deserves a home of their own. We're a community of nearly 2,000 employees that work hard to ensure that from the moment someone starts dreaming about a new home, to the moment they walk in the door and beyond, we're there to lend a helping hand. Every month, 70 million people trust us with their journey home by visiting our site and mobile apps, and we'd love to have you join our team to help.

We've got great offices across Canada and the US and lots of sweet jobs to choose from, so we're hoping you'll join us on our journey to make home buying and selling easier, and more rewarding for everyone.

Let's make a difference, together. For Real.

#LI-IH1",Staff Data Scientist,"Santa Clara, CA",2.9,Unknown / Non-Applicable,$123K-$196K (Glassdoor est.),Information Technology,1001 to 5000 Employees,Company - Private,0,0,123,196,159.5,"realtor.com", CA,27,1,0,1,0,1,data scientist,na,3596
"OneMagnify
4.7",1967,Advertising & Marketing,"The analytic team Magnify is looking for a Manager who will help to organize and develop analysis to support client deliverables, identify opportunities to support client objectives, and responsible for team oversight and coordination to meet and exceed client expectations.

· Work collaboratively with team members to develop project specifications and timelines (30%)

· Meet with analytic, business and technical teams to resolve open issues (20%)

· Management and execution of multiple analytics projects (15%)

· Communicate regularly with both team members and clients (15%)

· Assist with post-project analysis and documentation (15%)

· Additional duties as needed (5%)

· Highly proficient utilizing SQL and SAS to manipulate, arrange, query and present data

· Experience with complex problem solving – data manipulation, data quality, data modeling, statistical analysis and/or reporting

· Excellent interpersonal skills with people at all management and organizational levels

· Ability to respond in an effective and timely manner

· Subject matter expert in an analytics specialty

· BA / BS in Statistics, Mathematics, Econometrics or computer science

· Min 5-year experiences as analytics team lead or manager
OneMagnify is an Equal Opportunity Employer.",Senior Analytics Manager,"Detroit, MI",4.7,Unknown / Non-Applicable,$96K-$139K (Glassdoor est.),Business Services,201 to 500 Employees,Company - Private,0,0,96,139,117.5,"OneMagnify", MI,53,0,0,0,0,1,na,senior,1301
"Secant Group, LLC
2.9",-1,Health Care Products Manufacturing,"Who we are: *The Secant Group is an advanced technology biomaterials company headquartered in Telford, Pennsylvania, with manufacturing facilities in Quakertown and Perkasie, Pennsylvania. Secant provides innovative solutions through next-generation materials, structures, textile designs, and process technologies for the medical device, pharmaceutical, aerospace and energy markets.
What we're looking for: *Based in our Telford, PA facility, the Sr. Scientist, Cell Therapy R&D, will be primarily responsible for driving early stage research centered on the development of manufacturing platforms to support the cell therapy market. Working independently, the Sr. Scientist will be responsible for identifying and providing solutions to unmet needs in cell-based manufacturing processes. This includes bringing a product from concept through design, prototyping, development testing and validation. This individual will work with both internal and external stakeholders and collaborators.
What you'll do: *
Working both independently and within a small multidisciplinary team, drive the development of novel solutions for cell processing and expansion in CAR T and other cell manufacturing platforms.
Serve as cell biology subject matter expert and provide technical leadership to others and make decisions to set directions for multiple projects.
Develop and perform analytical assays to characterize manufacturing process steps.
Collaborate with business development to understand unmet needs and customer requirements for cell processing.
Define, participate in, and manage CMO and CDMO relationships.
Reviews and critically assesses patents and other forms of intellectual property.
Actively develops intellectual property through the filing of patent applications.
Clearly communicates technical information and project status to supervisor and colleagues through written and verbal means.
Accurately and thoroughly documents procedures and results using laboratory notebooks, protocols & reports, records and databases.
Effectively collaborates with colleagues on laboratory techniques, sample preparation, instrumentation, data analysis and documentation.
Follows all applicable Company test methods, work instructions, S.O.P.’s, and guidelines.
Performs other job-related responsibilities as assigned.
Who you are: *
MS degree in the field of Biological Sciences, Cell Biology, Bioengineering, Chemistry, Biology, Biomedical Engineering, Materials Science or equivalent. PhD is highly desirable.
3+ years’ direct experience in cell therapy manufacturing.
Ability to work in a high paced team environment, meet deadlines, and prioritize work on multiple projects.
Knowledge of autologous and allogenic CAR T processing.
Practical experience with mammalian cell culture, fluorescence imaging, cell health and viability assays, flow cytometry, PCR. Experience with T Cell or Pluripotent SC culture is highly desirable.
Prior work experience in a regulated environment (ISO 9001, 13485 and QSR Standards) a plus.
Ability to accurately analyze data generated by various analytical and physical testing instrumentation.
Solve practical problems and deal with a variety of concrete variables in situations where only limited standardization exists.
Why join us: *We promote a collaborative, high energy and fast-paced environment. Using fact-based data, our team members strive to constantly improve our processes and products. We nurture an environment where employees can creatively innovate solutions that drive impactful results both for the business and themselves.
Job Type: Full-time

Benefits:
401(k)
401(k) Matching
Dental Insurance
Disability Insurance
Employee Assistance Program
Employee Discount
Flexible Spending Account
Health Insurance
Life Insurance
Paid Time Off
Referral Program
Retirement Plan
Tuition Reimbursement
Vision Insurance
Schedule:
Day shift
Monday to Friday
Location:
Telford, PA 18969 (Preferred)
Work authorization:
United States (Preferred)
Work Location:
One location
Company's website:
secant.com
Benefit Conditions:
Waiting period may apply
Work Remotely:
No","Sr. Scientist, Cell Therapy R&D","Telford, PA",2.9,Unknown / Non-Applicable,$57K-$122K (Glassdoor est.),Manufacturing,51 to 200 Employees,Company - Public,0,0,57,122,89.5,"Secant Group, LLC", PA,-1,0,0,0,0,0,na,senior,4156
